~VERSION INFORMATION 
 VERS. 2.0: CWLS LOG ASCII STANDARD -VERSION 2.0 
 WRAP.  No: SINGLE LINE PER DEPTH STEP
~WELL INFORMATION BLOCK 
#MNEM.UNIT			     DATA			   DESCRIPTION OF MNEMONIC
#----------------------------------------------------------------------
 STRT.m                 445.00                         : Start Depth
 STOP.m                 1150.00                        : Stop  Depth
 STEP.m                 0.25                           : Step  Depth
 NULL.                   -999.25                       : Null value
 COMP.                   PEAK                          : Company Name
 WELL.                   BILABRI DX1                   : Well Name
 PATH.                   Original Path                 : Path Name
 FLD.                    BILABRI                       : Field Name
 LOC.                    BULFORD DOLPHIN               : Location
 PROV.                   Unused                        : Province
 SRVC.                   BAKER HUGHES INTEQ            : Service Company Name
 Date.DD/MM/YYYY         25/12/2005                    : Date
 UWI.                                                  : Unique Well ID
 TIMEZONE.Hrs            0                   : Time zone difference from GMT 
~CURVE INFORMATION
#MNEM.UNIT                 CURVE INFORMATION
#
#----------------------------------------------------------------------#
DEPTH.m                                      :   0 Depth Hole
DRLL_ROP_AVG.m/hr                            :   1 Average ROP
RACLM.Ohm.m                                  :   2 
RPCLM.Ohm.m                                  :   3 
RACHM.Ohm.m                                  :   4 
RPCHM.Ohm.m                                  :   5 
CALFM.in                                     :   6 
NPLFM.pu                                     :   7 
GRAFM.API                                    :   8 
BDCFM.g/cc                                   :   9 
DRHFM.g/cc                                   :   10 
TCDM.degF                                    :   11 
TVD.m                                        :   12 Vertical Depth
#
~Disclaimer
Baker Hughes INTEQ does not guarantee the accuracy  or correctness
of  interpretations  provided  in  or  from this  data. Since  all
interpretations  are  opinions based on measurements, Baker Hughes
INTEQ  shall  under no  circumstances   be  held  responsible  for
consequential damages or any other loss, costs, damages or expenses
incurred  or  sustained  in  connection  with  the use of any such
interpretations. Baker  Hughes INTEQ  disclaims  all expressed and
implied  warranties  related to  its  service which is governed by
Baker Hughes INTEQ's standard terms and conditions.
#
DEPTH             DRLL_ROP_AVG RACLM       RPCLM         RACHM       RPCHM        CALFM        NPLFM        GRAFM        BDCFM        DRHFM         TCDM          TVD          
  453.25          4.98         0.39         0.19         0.23         0.18      -999.00       284.14        30.33         1.06        -0.05        92.19       453.25
  453.50          6.45         0.39         0.20         0.25         0.19      -999.00     -3454.83        29.62         1.05        -0.06        92.19       453.50
  453.75         10.01         0.40         0.20         0.25         0.19      -999.00      -100.44        28.62         1.06        -0.05        92.19       453.75
  454.00         10.67         0.39         0.18         0.24         0.18      -960.78      -214.15        30.34         1.09        -0.05        92.19       454.00
  454.25         11.33         0.36         0.17         0.22         0.18      -653.41      -184.56        29.42         1.11        -0.05        92.19       454.25
  454.50         10.62         0.39         0.18         0.22         0.18       -36.34      -114.68        30.48         1.13        -0.05        92.19       454.50
  454.75         12.16         0.41         0.20         0.26         0.20        13.74      -158.12        31.38         1.14        -0.04        92.19       454.75
  455.00         24.89         0.43         0.23         0.28         0.21        13.69       -71.43        30.51         1.22        -0.01        92.19       455.00
  455.25         65.80         0.42         0.18         0.26         0.16        13.70       -52.41        30.42         1.25         0.01        92.19       455.25
  455.50         73.87         0.41         0.24         0.27         0.24        13.72      -157.17        28.31         1.27         0.02        92.19       455.50
  455.75         81.95         0.34         0.26         0.28         0.31        13.81      -307.20        27.19         1.27         0.02        92.19       455.75
  456.00         98.92         0.34         0.26         0.30         0.31       -22.45       -75.82        27.37         1.33         0.03        92.19       456.00
  456.25         94.04         0.34         0.25         0.29         0.28      -286.37       -76.44        26.86         1.36         0.04        92.19       456.25
  456.50         74.25         0.33         0.26         0.29         0.26      -791.70       -80.62        26.30         1.37         0.04        92.19       456.50
  456.75         66.04         0.32         0.25         0.28         0.27      -961.36       -61.97        27.10         1.36         0.04        92.19       456.75
  457.00         57.84         0.32         0.25         0.28         0.27      -999.00      -103.34        25.97         1.29         0.02        92.19       457.00
  457.25         49.67         0.32         0.25         0.28         0.27      -999.00      -120.84        26.51         1.29         0.03        92.19       457.25
  457.50         51.08         0.32         0.24         0.28         0.27      -992.07      -167.68        27.21         1.32         0.03        92.19       457.50
  457.75         39.62         0.31         0.23         0.27         0.25      -911.17       469.34        28.70         1.34         0.03        92.19       457.75
  458.00         36.51         0.28         0.22         0.28         0.26      -385.35      -364.09        27.56         1.37         0.05        92.19       458.00
  458.25         34.12         0.28         0.23         0.29         0.30       -36.38      -123.90        28.03         1.41         0.06        92.19       458.25
  458.50         31.74         0.28         0.24         0.29         0.31        14.63       -71.91        30.89         1.46         0.05        92.19       458.50
  458.75         17.29         0.28         0.24         0.30         0.31        14.61       -60.97        30.98         1.48         0.05        92.19       458.75
  459.00          9.72         0.28         0.24         0.31         0.31       -33.69       -52.11        29.37         1.45         0.08        92.19       459.00
  459.25          7.25         0.28         0.25         0.33         0.33      -158.18       -45.87        30.30         1.38         0.06        92.19       459.25
  459.50          6.55         0.28         0.25         0.34         0.32      -419.56       -44.32        27.07         1.33         0.04        92.19       459.50
  459.75          5.86         0.28         0.25         0.33         0.32      -747.20       -56.54        28.28         1.35         0.05        92.19       459.75
  460.00          5.27         0.28         0.24         0.32         0.31      -989.35      -133.96        30.69         1.33         0.04        92.19       460.00
  460.25          5.92         0.28         0.24         0.31         0.30      -999.00      -167.10        31.84         1.34         0.04        92.19       460.25
  460.50          8.31         0.28         0.24         0.32         0.30      -999.00      -768.88        32.40         1.34         0.04        92.19       460.50
  460.75         12.25         0.28         0.24         0.32         0.30      -999.00        81.79        30.24         1.30         0.02        92.19       460.75
  461.00         13.21         0.28         0.24         0.32         0.29      -999.00        81.79        28.98         1.27         0.01        92.19       461.00
  461.25         14.16         0.28         0.24         0.32         0.29      -999.00        25.46        29.76         1.27         0.01        92.19       461.25
  461.50         11.77         0.28         0.24         0.32         0.32      -999.00        52.81        33.78         1.32         0.04        92.19       461.50
  461.75         10.40         0.28         0.25         0.34         0.31      -999.00        52.57        31.80         1.31         0.03        92.19       461.75
  462.00          8.83         0.29         0.24         0.31         0.31      -945.23        52.33        30.86         1.29         0.02        92.19       462.00
  462.25          8.90         0.32         0.24         0.33         0.29      -604.62        52.10        30.22         1.26         0.01        92.19       462.25
  462.50          8.96         0.33         0.26         0.33         0.34      -177.19        51.86        30.70         1.18        -0.01        92.19       462.50
  462.75          9.57         0.34         0.26         0.33         0.33      -561.91        51.62        31.41         1.23        -0.22        92.19       462.75
  463.00          9.72         0.34         0.26         0.33         0.34      -998.04        51.39        30.79         1.50        -0.75        92.19       463.00
  463.25          8.83         0.33         0.25         0.32         0.36      -999.00        51.15        29.91         1.54        -0.68        92.19       463.25
  463.50          7.14         0.32         0.22         0.29         0.26      -967.06        64.50        27.60         1.87        -0.12        92.19       463.50
  463.75          7.05         0.31         0.23         0.29         0.28      -117.79        74.70        28.65         1.75        -0.06        91.74       463.75
  464.00          6.97         0.30         0.24         0.28         0.32        15.77       -11.03        27.11         1.65        -0.06        91.85       464.00
  464.25          8.31         0.30         0.24         0.29         0.32        15.12       132.10        25.73         1.56        -0.06        89.71       464.25
  464.50          6.23         0.30         0.24         0.30         0.32      -296.07       642.33        26.57         1.46        -0.05        89.82       464.50
  464.75          6.83         0.29         0.24         0.31         0.33      -728.83      -687.97        27.06         1.37        -0.05        90.78       464.75
  465.00          9.14         0.29         0.23         0.29         0.30      -728.06       -71.56        26.02         1.27        -0.05        91.74       465.00
  465.25         12.40         0.29         0.23         0.29         0.30      -727.28       -75.05        25.06         1.18        -0.04        91.40       465.25
  465.50         15.66         0.30         0.22         0.28         0.27      -726.50       -42.21        24.14         1.08        -0.04        91.06       465.50
  465.75         18.34         0.34         0.22         0.28         0.25      -725.72       -37.53        23.41         1.09        -0.04        90.61       465.75
  466.00         22.13         0.38         0.22         0.27         0.23      -724.94       -37.86        23.17         1.07        -0.05        90.28       466.00
  466.25         24.98         0.43         0.21         0.26         0.21      -724.17       -45.81        24.24         1.07        -0.05        90.95       466.25
  466.50         22.49         0.43         0.21         0.26         0.19      -208.75      -174.72        24.90         1.08        -0.05        91.63       466.50
  466.75         20.00         0.44         0.20         0.26         0.17        13.92      -109.84        25.56         1.08        -0.04        88.93       466.75
  467.00          9.82         0.46         0.23         0.27         0.20        13.69       -41.48        26.22         1.18        -0.01        88.70       467.00
  467.25          6.44         0.44         0.23         0.28         0.21       -33.18       -44.08        26.59         1.25         0.01        88.70       467.25
  467.50          8.71         0.41         0.23         0.28         0.23      -525.83       -86.37        26.50         1.27         0.01        89.14       467.50
  467.75         15.23         0.39         0.23         0.28         0.24      -837.44       -77.18        26.42         1.27         0.02        89.57       467.75
  468.00         20.17         0.36         0.24         0.28         0.26      -347.97       -63.55        26.33         1.26         0.02        90.01       468.00
  468.25         25.12         0.34         0.24         0.28         0.27       -52.67      -122.88        26.25         1.26         0.02        90.44       468.25
  468.50         72.60         0.31         0.24         0.28         0.28        14.32       456.39        26.16         1.23         0.01        90.88       468.50
  468.75        114.30         0.31         0.24         0.28         0.29        14.23      -498.23        26.08         1.20        -0.00        91.32       468.75
  469.00        142.24         0.31         0.24         0.28         0.30        14.16       -54.01        26.00         1.20        -0.01        91.75       469.00
  469.25        145.94         0.32         0.24         0.27         0.27        14.13       -51.64        25.69         1.21        -0.00        92.19       469.25
  469.50        149.65         0.32         0.24         0.27         0.28        14.13      -138.84        25.67         1.26         0.01        92.19       469.50
  469.75        147.24         0.32         0.23         0.27         0.26        14.20       -67.72        24.41         1.29         0.01        92.19       469.75
  470.00         68.78         0.30         0.21         0.25         0.21        14.18       -36.90        25.83         1.31         0.01        92.19       470.00
  470.25         31.96         0.30         0.26         0.33         0.33        14.15       -41.04        25.66         1.32         0.02        92.19       470.25
  470.50         26.33         0.30         0.26         0.34         0.32        14.14       -88.04        23.93         1.28         0.01        92.19       470.50
  470.75         23.15         0.30         0.27         0.34         0.35        14.13       -92.68        23.02         1.26         0.01        92.19       470.75
  471.00         19.98         0.31         0.27         0.34         0.35        14.13       -74.65        21.53         1.32         0.02        92.19       471.00
  471.25         14.89         0.30         0.27         0.34         0.35        14.15       -95.13        21.70         1.33         0.02        92.19       471.25
  471.50         13.40         0.30         0.27         0.34         0.35        14.21       -38.48        22.13         1.31         0.01        92.19       471.50
  471.75         14.77         0.30         0.27         0.34         0.35        14.21       -38.06        21.21         1.33         0.01        92.19       471.75
  472.00         16.17         0.30         0.26         0.31         0.32        14.21       -46.37        22.65         1.35         0.01        92.19       472.00
  472.25         17.58         0.29         0.24         0.31         0.31        14.22       -87.85        22.61         1.36         0.01        92.19       472.25
  472.50         15.96         0.29         0.22         0.30         0.29        14.28      5168.62        23.70         1.30         0.00        92.19       472.50
  472.75         12.95         0.28         0.22         0.28         0.27        14.27      -203.79        24.16         1.27        -0.00        92.19       472.75
  473.00         11.40         0.29         0.23         0.29         0.28        14.28      -110.00        24.11         1.23        -0.01        92.19       473.00
  473.25          9.84         0.30         0.24         0.30         0.30        14.27      -215.52        24.20         1.21        -0.01        92.19       473.25
  473.50          9.48         0.31         0.24         0.31         0.33        14.32      1435.97        23.71         1.21        -0.02        92.19       473.50
  473.75          9.13         0.30         0.25         0.32         0.33        14.32      -111.54        24.18         1.23        -0.01        92.19       473.75
  474.00         10.51         0.29         0.22         0.29         0.27        14.32       -48.78        24.82         1.24        -0.00        92.19       474.00
  474.25         13.62         0.29         0.23         0.29         0.28        14.33       -33.10        24.27         1.20        -0.02        92.19       474.25
  474.50         24.41         0.32         0.27         0.32         0.36        14.30       -49.02        23.61         1.13        -0.04        92.19       474.50
  474.75         30.74         0.32         0.27         0.34         0.38        14.22       309.92        23.56         1.12        -0.03        92.19       474.75
  475.00         37.08         0.32         0.28         0.34         0.39        14.27    -23676.70        24.05         1.15        -0.02        92.19       475.00
  475.25         41.54         0.32         0.28         0.34         0.38       -72.39       -91.85        24.63         1.15        -0.02        92.19       475.25
  475.50         48.56         0.32         0.28         0.35         0.39      -760.17       -79.50        22.91         1.15        -0.03        92.19       475.50
  475.75         30.52         0.32         0.28         0.30         0.36      -998.85       -50.62        25.18         1.18        -0.02        92.19       475.75
  476.00         29.31         0.31         0.24         0.29         0.29      -997.50      -104.14        23.53         1.24        -0.00        92.19       476.00
  476.25         33.26         0.32         0.22         0.29         0.27      -832.68       186.20        24.90         1.24        -0.00        92.19       476.25
  476.50         37.21         0.32         0.23         0.28         0.27      -302.86       -97.41        28.91         1.22        -0.00        92.19       476.50
  476.75         38.99         0.32         0.23         0.29         0.27        -0.28      -201.94        28.10         1.20        -0.01        92.19       476.75
  477.00         14.89         0.32         0.23         0.30         0.28        14.40      3759.17        27.73         1.17        -0.02        92.19       477.00
  477.25         10.18         0.32         0.23         0.29         0.26        14.34      1021.13        28.38         1.18        -0.01        92.19       477.25
  477.50         10.44         0.38         0.23         0.28         0.22        14.26      -315.24        28.36         1.18        -0.00        92.19       477.50
  477.75         10.87         0.39         0.23         0.30         0.20        14.36     -1682.35        28.30         1.20         0.00        92.19       477.75
  478.00         11.30         0.40         0.23         0.29         0.22        14.35     -1229.67        26.99         1.19        -0.01        92.19       478.00
  478.25         10.67         0.41         0.25         0.28         0.28        14.37       135.26        28.87         1.15        -0.02        92.19       478.25
  478.50         10.99         0.46         0.26         0.30         0.28        14.32      -142.10        29.67         1.11        -0.04        92.19       478.50
  478.75          9.53         0.55         0.34         0.38         0.35        14.28       -65.97        30.26         1.15        -0.03        92.19       478.75
  479.00          9.21         0.55         0.35         0.47         0.50        14.22       921.46        31.24         1.25         0.00        92.19       479.00
  479.25          8.88         0.50         0.32         0.35         0.32        14.28       265.17        31.72         1.20        -0.01        92.19       479.25
  479.50          9.01         0.38         0.24         0.31         0.29        14.34       -77.84        30.85         1.17        -0.02        92.19       479.50
  479.75          9.95         0.39         0.25         0.32         0.30        14.29      -162.86        28.94         1.20        -0.01        92.19       479.75
  480.00         11.54         0.47         0.30         0.30         0.24        14.31       129.62        28.91         1.19        -0.02        92.19       480.00
  480.25         13.31         0.51         0.36         0.47         0.42        14.38     -5502.84        30.99         1.18        -0.02        92.19       480.25
  480.50         14.52         0.49         0.37         0.51         0.54        14.45      -569.86        31.46         1.21        -0.01        92.19       480.50
  480.75         15.73         0.49         0.30         0.34         0.32        14.38      -155.89        32.52         1.21        -0.01        92.19       480.75
  481.00         13.69         0.45         0.26         0.36         0.30        14.35      -288.94        27.35         1.21        -0.01        92.19       481.00
  481.25         13.61         0.47         0.31         0.34         0.39        14.21      5445.40        29.55         1.19        -0.02        92.19       481.25
  481.50         12.87         0.60         0.34         0.38         0.39        14.14     -1615.75        32.96         1.16        -0.02        92.19       481.50
  481.75         12.27         0.55         0.41         0.57         0.74        14.15      -199.33        32.57         1.18        -0.02        92.19       481.75
  482.00         11.66         0.60         0.39         0.44         0.52        14.25       -64.41        32.60         1.18        -0.02        92.19       482.00
  482.25         12.95         0.63         0.41         0.54         0.54        14.23       -50.17        32.42         1.20        -0.01        92.19       482.25
  482.50         17.79         0.71         0.44         0.47         0.61        14.25       -48.81        36.69         1.23        -0.01        92.19       482.50
  482.75         22.99         0.70         0.52         0.55         1.00        14.32       -82.24        36.89         1.25        -0.01        92.19       482.75
  483.00         27.01         0.73         0.55         0.50         0.87        14.42       151.27        40.72         1.26        -0.00        92.19       483.00
  483.25         26.23         0.72         0.49         0.49         0.75        14.52       -79.20        36.18         1.25        -0.01        92.19       483.25
  483.50         25.45         0.71         0.43         0.49         0.62        14.48       -48.16        31.73         1.24        -0.01        92.19       483.50
  483.75         20.88         0.62         0.43         0.53         0.54        14.43      -118.31        31.60         1.22        -0.01        92.19       483.75
  484.00         17.87         0.57         0.42         0.40         0.47        14.45      -393.82        34.47         1.20        -0.01        92.19       484.00
  484.25         13.15         0.55         0.30         0.35         0.29       -12.01      2392.82        34.68         1.20        -0.01        92.19       484.25
  484.50         15.39         0.49         0.29         0.34         0.35      -155.87       138.24        31.54         1.22        -0.01        92.19       484.50
  484.75         17.63         0.42         0.27         0.33         0.30      -447.63       -65.94        30.55         1.23        -0.01        92.19       484.75
  485.00         17.91         0.39         0.25         0.31         0.26      -860.73       -95.39        26.28         1.23         0.00        92.19       485.00
  485.25          8.96         0.36         0.25         0.30         0.29      -771.11       136.76        25.08         1.23        -0.00        92.19       485.25
  485.50          8.60         0.36         0.24         0.29         0.25      -534.52        56.17        22.75         1.20        -0.01        92.19       485.50
  485.75          8.32         0.36         0.24         0.29         0.26      -685.45     -1254.35        24.01         1.16        -0.03        92.19       485.75
  486.00          8.22         0.35         0.24         0.29         0.26      -392.39      1079.48        25.33         1.19        -0.01        92.19       486.00
  486.25          8.11         0.35         0.24         0.29         0.27       -95.85      -614.71        25.18         1.19        -0.01        92.19       486.25
  486.50          7.91         0.37         0.26         0.31         0.31        14.36       -72.42        25.42         1.17        -0.02        92.19       486.50
  486.75          8.10         0.37         0.26         0.31         0.27        14.40       -52.46        26.32         1.23         0.00        92.19       486.75
  487.00         10.29         0.38         0.26         0.31         0.27        14.28       -40.53        26.27         1.33         0.04        92.19       487.00
  487.25         12.05         0.40         0.28         0.33         0.34        14.28       -33.30        25.36         1.31         0.02        92.19       487.25
  487.50         13.81         0.40         0.27         0.33         0.27        14.34       -36.02        24.95         1.25        -0.00        92.19       487.50
  487.75         16.81         0.40         0.27         0.32         0.30        14.24       -76.77        24.43         1.24        -0.00        92.19       487.75
  488.00         17.43         0.39         0.26         0.30         0.26      -158.56      -587.06        24.00         1.24         0.00        92.19       488.00
  488.25         10.63         0.39         0.26         0.31         0.30      -629.56       132.07        25.36         1.21        -0.01        92.19       488.25
  488.50         11.14         0.38         0.26         0.33         0.33      -997.31      -739.34        25.51         1.21        -0.01        92.19       488.50
  488.75         11.71         0.37         0.25         0.30         0.25      -999.00      -165.90        24.57         1.24         0.01        92.19       488.75
  489.00         12.28         0.38         0.26         0.31         0.27      -952.76      -204.35        24.30         1.32         0.03        92.19       489.00
  489.25         12.59         0.38         0.26         0.31         0.26      -751.72      -109.83        24.41         1.34         0.04        92.19       489.25
  489.50         13.10         0.38         0.27         0.32         0.24      -518.43      -238.21        23.21         1.30         0.02        92.19       489.50
  489.75         14.51         0.38         0.27         0.31         0.27      -248.90      -149.98        25.13         1.26         0.01        92.19       489.75
  490.00         13.30         0.37         0.27         0.33         0.32      -177.60       -93.52        22.87         1.22        -0.01        92.19       490.00
  490.25         12.56         0.38         0.27         0.33         0.33      -160.97       -85.03        21.02         1.19        -0.01        92.19       490.25
  490.50         11.81         0.40         0.28         0.32         0.29       -80.15      -349.12        21.20         1.17        -0.02        92.19       490.50
  490.75         11.22         0.41         0.29         0.33         0.32      -138.43      -258.12        20.39         1.19        -0.02        92.19       490.75
  491.00         10.04         0.44         0.30         0.34         0.32       -64.50       -73.69        21.52         1.21        -0.01        92.19       491.00
  491.25          9.56         0.47         0.32         0.38         0.37        -2.66       -72.49        25.60         1.21        -0.00        92.19       491.25
  491.50          9.55         0.46         0.37         0.38         0.38        14.37       -91.62        30.71         1.18        -0.01        92.19       491.50
  491.75          9.54         0.44         0.32         0.38         0.39        14.27      -101.36        30.32         1.17        -0.02        92.19       491.75
  492.00          9.63         0.39         0.26         0.33         0.32        14.34       -57.50        26.62         1.16        -0.02        92.19       492.00
  492.25          9.84         0.37         0.25         0.32         0.33        14.43       -50.14        26.63         1.15        -0.02        92.19       492.25
  492.50          9.87         0.37         0.24         0.30         0.27        14.44       -63.25        29.08         1.14        -0.03        92.19       492.50
  492.75          9.27         0.39         0.24         0.31         0.27         3.41       -68.90        28.42         1.17        -0.02        92.19       492.75
  493.00          9.59         0.43         0.26         0.31         0.27      -117.19       -72.56        29.84         1.25         0.00        92.19       493.00
  493.25          9.91         0.50         0.31         0.35         0.34      -282.97       -87.78        29.40         1.27         0.01        92.19       493.25
  493.50         12.86         0.44         0.27         0.33         0.29      -672.44       152.32        35.12         1.28        -0.00        92.19       493.50
  493.75         17.14         0.52         0.32         0.37         0.34      -485.81       567.18        35.90         1.30         0.00        92.19       493.75
  494.00         22.13         0.66         0.51         0.48         0.64      -279.48      -162.32        34.87         1.34         0.01        92.19       494.00
  494.25         24.37         0.72         0.57         0.56         0.91      -444.00      -243.48        38.95         1.35         0.01        92.19       494.25
  494.50         26.61         0.73         0.55         0.55         0.61      -639.34       111.65        37.11         1.29         0.00        92.19       494.50
  494.75         27.89         0.80         0.51         0.56         0.73      -471.52        49.54        36.91         1.20        -0.02        92.19       494.75
  495.00         24.26         0.79         0.51         0.50         0.62      -125.43       172.51        36.59         1.11        -0.03        92.19       495.00
  495.25         13.49         0.79         0.50         0.54         0.56       -61.82      -260.68        37.73         1.12        -0.03        92.19       495.25
  495.50         13.35         0.73         0.43         0.47         0.42      -551.98      -295.02        38.63         1.11        -0.03        92.19       495.50
  495.75         13.56         0.74         0.43         0.45         0.44      -603.60      -252.00        38.66         1.07        -0.04        92.19       495.75
  496.00         13.78         0.75         0.53         0.60         0.91       -16.84       697.20        41.20         1.04        -0.06        92.19       496.00
  496.25         15.40         0.74         0.57         0.54         1.24        11.34        61.16        43.06         1.04        -0.06        92.19       496.25
  496.50         15.50         0.71         0.58         0.57         0.96        11.34      -139.12        40.45         1.07        -0.05        92.19       496.50
  496.75         14.37         0.69         0.55         0.64         0.88        11.34       -84.89        39.23         1.08        -0.04        92.19       496.75
  497.00         14.31         0.68         0.52         0.65         0.75        11.34       677.73        36.47         1.11        -0.04        92.19       497.00
  497.25         14.25         0.67         0.54         0.66         0.78        11.34       -93.75        36.42         1.12        -0.04        92.19       497.25
  497.50         12.67         0.66         0.52         0.66         0.73        11.34       -69.99        37.15         1.14        -0.03        92.19       497.50
  497.75         14.09         0.73         0.48         0.67         0.66        11.34       -59.58        38.45         1.14        -0.03        92.19       497.75
  498.00         17.71         0.72         0.57         0.63         0.78        11.34       -43.30        40.18         1.15        -0.02        92.19       498.00
  498.25         21.21         0.70         0.52         0.55         0.60        11.34       -49.93        39.34         1.17        -0.01        92.19       498.25
